                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.1145,                0.59929,                0.98072,                0.28734,                0.33333,                0.14583,                0.06432,                 2.4536,                 2.6273,                 1.3098,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.98468,                0.49715,                0.89763,                0.32942,                0.33333,                0.16957,                0.06071,                 2.4228,                 2.6162,                 1.3011,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.0793,                 0.5404,                0.87184,                0.32942,                0.33333,                0.16957,                0.06071,                 2.4228,                 2.6162,                 1.3011,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.1589,                0.59081,                0.83545,                0.30048,                0.28571,                0.18334,                0.06454,                 2.4031,                  2.601,                 1.2992,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.1087,                0.62217,                0.85649,                0.30048,                0.28571,                0.18334,                0.06454,                 2.4031,                  2.601,                 1.2992,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.0403,                0.58387,                0.87025,                0.44329,                 0.2381,                0.18261,                0.06886,                 2.3998,                  2.522,                 1.3086,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.9639,                0.51564,                 0.8708,                0.44329,                 0.2381,                0.18261,                0.06886,                 2.3998,                  2.522,                 1.3086,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.99876,                0.56443,                0.84166,                0.44213,                 0.2381,                0.18649,                0.06442,                 2.3826,                 2.5398,                 1.3099,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.96733,                0.52962,                0.84069,                0.44213,                 0.2381,                0.18649,                0.06442,                 2.3826,                 2.5398,                 1.3099,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.1241,                0.55482,                0.85027,                0.43973,                 0.2381,                0.20209,                0.07127,                 2.3875,                 2.5313,                 1.3072,             1.4209e-05,             1.4209e-05,             1.4209e-05
